CNPJ_ENVIADO;TITULO_ENVIADO;PARCELA_ENVIADA
2682579;000282508-1;1
2646687;000273107-1;1
2656585;000272041-1;1
2693713;000280199-1;1
2645816;000281281-1;1
1826091;000281682-1;1
1810188;000282196-1;1
1811008;000283008-1;1
1678760;000282738-1;1
2697824;000277857-1;1
1687509;000282642-1;1
1829925;001590579-4;1
1761138;001591521-4;1
1743167;001591461-4;1
1618876;001591432-4;1
2619673;001591527-4;1
1764891;001591483-4;1
2652292;001587377-4;1
2623428;001590217-4;1
1791656;001591583-4;1
1735632;001590077-4;1
1735632;001590060-4;1
1535260;001590354-4;1
1764075;001588026-4;1
2650798;001587717-4;1
1779605;001587494-4;1
2483535;001901997-1;1
1443382;001899930-1;1
1446524;001901542-1;1
1441933;001897043-1;1
1714010;001900306-1;1
1820644;001901611-1;1
1481382;001899572-1;1
1448671;001896590-1;1
1703623;001900511-1;1
1703623;001900510-1;1
1537411;001897070-1;1
1537411;001897068-1;1
2680512;000004283-1;1
2612148;000004862-1;1
1801416;000004429-1;1
2685091;000004481-1;1
1823883;000005318-1;1
1817272;000004494-1;1
1823607;000004812-1;1
1802817;000343203-1;1
1827829;000343451-1;1
1721615;000343153-1;1
1726006;000343459-1;1
1726765;000341120-1;1
1723708;000343002-1;1
1723708;000343001-1;1
2648384;000340882-1;1
2648384;000340881-1;1
2523904;000340511-1;1
2523904;000340513-1;1
2523904;000340512-1;1
1825913;000342833-1;1
1768316;000340261-1;1
1770367;000341124-1;1
1757259;000343495-1;1
1750977;000340839-1;1
1738071;000336982-1;1
1376178;000468330-1;1
1796050;000475618-1;1
1023167;000476206-1;1
1345516;000474568-1;1
1348333;000469254-1;1
1817808;000475795-1;1
2667480;000468231-1;1
1758221;000476575-1;1
1825699;000475519-1;1
1024982;000475893-1;1
1368478;000468651-1;1
2694158;000476419-1;1
2694158;000476420-1;1
1410636;000468381-1;1
1827532;000473114-1;1
1371903;000468073-1;1
1260336;000475591-1;1
2603986;000475460-1;1
1026997;000467126-1;1
1774111;000476125-1;1
1696853;000475790-1;1
1806396;001197423-1;1
2602921;001195899-1;1
1764027;001197520-1;1
